'Elapsed time','ECG','EMG','foot GSR','hand GSr','HR','marker','RESP'
'hh:mm:ss.mmm','mV','mV','mV','mV','bpm','mV','mV'
'0:00.000',-0.044,0.036,8.763,5.675,88,10.85,43.54
'0:00.002',-0.037,0.036,8.763,5.675,88,10.85,43.54
'0:00.004',-0.031,0.036,8.763,5.675,88,10.85,43.54
'0:00.006',-0.023,0.036,8.763,5.675,88,10.85,43.54
'0:00.008',-0.018,0.036,8.763,5.675,88,10.85,43.54
'0:00.010',-0.017,0.036,8.763,5.675,88,10.85,43.54
'0:00.012',-0.018,0.036,8.763,5.675,88,10.85,43.54
'0:00.014',-0.018,0.036,8.763,5.675,88,10.85,43.54
'0:00.016',-0.015,0.036,8.763,5.675,88,10.85,43.54
'0:00.018',-0.01,0.036,8.763,5.675,88,10.85,43.54
'0:00.020',0.002,0.036,8.763,5.675,88,10.85,43.54
'0:00.022',0.016,0.036,8.763,5.675,88,10.85,43.54
'0:00.024',0.026,0.036,8.763,5.675,88,10.85,43.54
'0:00.026',0.04,0.036,8.763,5.675,88,10.85,43.54
'0:00.028',0.055,0.036,8.763,5.675,88,10.85,43.54
'0:00.030',0.06,0.036,8.763,5.675,88,10.85,43.54
'0:00.032',0.066,0.036,8.765,5.678,88,10.85,43.4
'0:00.034',0.071,0.036,8.765,5.678,88,10.85,43.4
'0:00.036',0.071,0.036,8.765,5.678,88,10.85,43.4
'0:00.038',0.07,0.036,8.765,5.678,88,10.85,43.4
'0:00.040',0.057,0.036,8.765,5.678,88,10.85,43.4
